dien_tich,so_phong,kc_trung_tam,tuoi_nha,gia
142,5,7.8,7,3913.1
219,5,5.2,46,4671.8
132,3,1.0,36,2938.4
54,1,12.6,2,1980.3
146,5,20.9,32,3130.3
111,3,14.0,27,2608.2
60,5,15.6,46,2312.0
142,5,31.7,7,2993.4
161,4,12.5,33,3366.2
114,2,18.2,34,2410.7
127,3,27.5,31,2471.3
156,4,14.2,23,3221.8
139,3,22.0,13,3107.3
143,2,30.3,31,2699.2
191,3,33.3,45,3111.4
170,5,5.6,42,3746.2
189,4,32.5,15,3308.6
92,3,17.5,3,2465.8
41,2,9.4,36,2193.3
127,3,16.3,20,3075.3
197,5,34.3,13,3501.3
77,2,17.5,30,2076.1
169,3,11.8,47,3241.7
60,4,22.4,17,2229.1
200,4,8.8,6,4329.8
97,4,3.1,9,3309.5
61,4,4.9,6,2508.4
128,3,4.9,32,3126.4
88,2,5.7,22,2222.8
98,4,5.3,20,2757.2
209,4,22.6,18,4058.1
54,4,6.8,47,2030.9
214,5,12.4,18,4212.6
90,3,31.4,35,1963.5
147,3,16.9,28,3192.6
94,4,23.5,17,2313.6
103,3,6.4,1,2391.5
170,4,7.1,0,3805.9
90,4,1.9,46,2981.5
174,4,6.3,4,4060.3
60,3,10.1,19,2503.8
112,3,6.6,10,2845.3
206,2,3.6,41,3558.9
57,3,4.7,1,2591.8
171,1,16.4,2,3319.2
128,3,7.6,22,3175.0
99,3,13.1,11,2890.4
53,2,17.9,19,1912.4
48,3,24.3,4,1959.5
129,1,1.9,36,2991.2
92,1,28.1,37,1845.9
169,4,22.2,29,3495.3
123,3,3.3,8,3461.0
131,2,30.6,33,2618.7
150,3,32.3,43,2481.6
211,4,2.6,34,4381.5
47,2,10.1,21,1876.8
214,3,28.3,43,3316.5
74,2,26.3,23,1722.4
120,1,6.9,16,2878.6
203,3,7.7,9,4196.8
89,3,13.3,29,2525.6
143,3,17.2,45,2835.4
171,4,21.8,22,3431.6
41,5,13.2,31,2311.2
173,3,16.5,16,3217.4
93,3,26.3,49,2020.9
145,4,1.8,16,3683.2
43,2,9.2,13,2117.6
93,3,25.1,8,2131.5
185,1,31.4,39,3042.1
83,1,18.2,1,2221.5
201,5,18.9,44,3885.5
53,4,4.2,24,2366.8
134,4,15.9,38,3103.3
87,3,18.9,8,2466.1
54,2,8.9,21,2275.1
79,2,9.8,42,1907.5
121,2,13.5,45,2586.1
150,3,1.2,3,3769.5
92,4,11.6,25,2680.5
63,3,7.8,28,2214.2
193,2,11.8,44,3403.7
163,5,4.6,33,3858.4
80,4,31.2,22,1778.2
196,3,21.0,36,3662.7
54,3,23.9,10,1834.1
84,3,27.7,5,2248.5
104,2,17.7,17,2535.6
128,3,3.5,20,3143.9
110,4,19.0,41,2593.4
48,1,20.7,35,1062.2
127,2,26.2,40,2480.8
168,1,15.4,37,3179.4
175,1,4.9,33,3057.3
102,4,10.3,16,2865.3
178,4,13.0,36,3401.6
120,3,22.8,24,2596.0
175,2,20.2,37,3215.8
202,3,12.8,11,4143.7
202,3,34.5,22,3537.4
72,2,21.4,41,2036.9
162,3,8.7,21,3468.5
44,3,4.0,20,2011.5
80,3,5.8,26,2536.4
67,3,9.0,30,2403.0
174,1,6.0,5,3327.1
111,3,6.9,26,3200.3
51,3,10.3,39,2154.1
201,3,6.5,33,3898.3
72,4,31.4,11,1963.0
87,3,3.3,44,2439.1
190,2,18.6,6,3580.4
101,1,14.7,9,2381.2
76,3,34.4,44,1821.1
138,1,4.4,16,3006.3
211,3,14.2,25,4018.0
143,5,33.9,20,2953.3
74,3,30.4,27,1910.5
140,3,28.7,45,2511.1
214,3,9.4,1,4402.4
170,3,6.4,42,3624.1
40,3,23.6,0,1922.8
44,5,32.6,35,1792.4
181,3,19.7,25,3259.5
142,5,20.2,28,3283.2
66,5,10.2,20,2851.9
176,2,27.0,10,3245.5
54,1,7.0,39,1625.5
129,2,11.7,10,2966.5
81,1,15.2,35,2029.5
163,2,18.0,48,2785.7
218,4,8.9,38,3945.0
102,1,4.5,39,2392.6
135,3,21.6,34,2624.7
91,4,10.5,33,2662.9
135,1,20.6,46,2100.5
171,4,5.8,23,3924.6
190,2,17.1,21,3370.3
182,2,18.9,4,3658.7
210,4,2.3,32,4256.7
68,3,12.1,35,2178.9
75,4,5.1,46,2473.4
52,4,2.7,19,2380.6
199,4,34.7,18,3921.5
110,2,11.6,34,2468.7
125,2,28.4,42,2438.2
67,4,9.3,16,2346.6
105,4,24.0,44,2475.0
209,5,26.7,42,3840.7
84,3,21.0,33,2164.6
101,3,16.8,8,2575.2
173,4,14.7,25,3561.1
67,3,12.5,1,2360.9
67,5,32.6,8,2607.4
147,4,29.2,8,3065.9
83,3,33.8,39,1883.5
123,4,4.8,16,3648.7
69,4,25.7,0,2127.8
114,2,32.9,24,2160.3
167,5,6.8,42,3699.5
131,3,2.8,39,3124.5
168,4,26.1,41,3103.3
160,3,20.3,24,3038.8
66,4,29.5,38,1885.7
160,3,5.3,34,3274.2
155,1,27.9,2,2974.5
42,5,7.5,49,2286.7
142,2,6.1,36,2974.7
194,3,6.2,43,3698.9
176,5,28.6,43,3352.6
101,5,23.4,29,2501.3
204,3,18.5,37,3965.7
90,3,12.9,33,2507.9
211,3,30.8,11,3694.8
191,2,14.0,18,3720.7
98,3,28.7,36,2016.2
157,3,15.7,43,3293.5
199,4,13.5,48,3787.1
135,4,16.5,16,3350.5
219,4,10.9,9,4347.9
152,2,26.3,48,2819.6
101,3,17.8,46,2421.2
91,1,8.5,11,2834.4
51,3,31.5,15,1588.0
78,3,13.7,23,2396.3
169,4,19.3,18,3315.8
170,3,31.8,7,3043.7
152,2,22.0,30,2945.4
140,2,4.5,20,3410.8
152,4,32.9,16,3507.2
120,3,22.2,22,2641.6
152,2,12.1,36,2865.5
41,2,5.3,15,2175.1
169,4,27.9,5,3187.5
93,1,21.9,7,2264.1
126,4,18.9,24,2857.1
168,4,31.3,17,3235.6
186,2,27.7,24,3343.9
165,2,5.7,11,3529.6
169,5,11.3,14,4051.4
92,3,9.1,25,2783.7
211,3,26.2,40,3171.4
199,4,1.7,44,3931.2
199,5,20.2,25,3651.9
107,5,26.8,46,2856.3
162,4,30.7,31,3009.5
184,3,12.3,9,4099.0
77,2,28.8,15,1590.1
63,4,4.3,6,2597.4
108,3,29.7,16,2519.6
155,3,4.9,22,3543.8
